iso3,country,region,year,buffer_km,pop_near,num_plants,pop_total,pct_near
USA,UNITED STATES OF AMERICA,America - Northern,2010,30,23704595.9,85,1755758920.0,1.3501053948796113
USA,UNITED STATES OF AMERICA,America - Northern,2010,75,191606118.0,85,1755758920.0,10.91300837588796
USA,UNITED STATES OF AMERICA,America - Northern,2010,300,1755758920.0,85,1755758920.0,100.0
ZAF,SOUTH AFRICA,Africa,1990,30,425804.0,1,3900770.0,10.91589609230998
ZAF,SOUTH AFRICA,Africa,1990,75,3101590.0,1,3900770.0,79.5122501454841
ZAF,SOUTH AFRICA,Africa,1990,300,3900770.0,1,3900770.0,100.0
ZAF,SOUTH AFRICA,Africa,2000,30,432557.0,1,3872590.0,11.16970812815196
ZAF,SOUTH AFRICA,Africa,2000,75,3093880.0,1,3872590.0,79.8917520315861
ZAF,SOUTH AFRICA,Africa,2000,300,3872590.0,1,3872590.0,100.0
ZAF,SOUTH AFRICA,Africa,2010,30,488554.0,1,4362550.0,11.19881720553346
ZAF,SOUTH AFRICA,Africa,2010,75,3490540.0,1,4362550.0,80.01146118669126
ZAF,SOUTH AFRICA,Africa,2010,300,4362550.0,1,4362550.0,100.0
